intitule,type,adresse,codepostal,ville,telephone,latitude,longitude,
Tribunal pour Enfants de Tarbes,ENFANT,Rue du Maréchal Foch  ,65,TARBES,+33 5 62 51 77 00,43.231872,0.076531,
Tribunal pour Enfants de Pau,ENFANT,Place de la Libération  ,64,PAU,+33 5 59 82 46 00,43.2976804,-0.3712257,
Tribunal pour Enfants de Soissons,ENFANT,76 rue Saint-Martin  ,2,SOISSONS CEDEX,+33 3 23 76 39 39,49.3804223,3.3280404,
Tribunal pour Enfants de Bourg-en-Bresse,ENFANT,3 rue Paul Pioda CF 70252 ,1,BOURG EN BRESSE CEDEX,+33 4 74 24 19 53,46.2048263,5.2255015,
Tribunal pour Enfants de Grasse,ENFANT,37 Avenue Pierre Semard B.P. 71029 ,6,GRASSE,+33 4 92 60 72 85,43.656694,6.928526,
Tribunal pour Enfants de Moulins,ENFANT,20 Rue de Paris B.P. 1627 ,3,MOULINS CEDEX,+33 4 70 20 44 60,46.5683737,3.330534,
Tribunal pour Enfants de Mulhouse,ENFANT,44 Avenue Robert Schumann  ,68,MULHOUSE CEDEX 3,+33 3 89 66 10 44,47.7530337,7.3439933,
Tribunal pour Enfants de Perpignan,ENFANT,5 Bd des Pyrénées B.P. 921 ,66,PERPIGNAN CEDEX,+33 4 68 51 97 40,42.6966749,2.8884076,
Tribunal pour Enfants d'Albi,ENFANT,Place du Palais B.P. 156 ,81,ALBI,+33 5 63 49 49 82,43.9266871,2.1459039,
Tribunal pour Enfants d'Amiens,ENFANT,8 Rue Pierre Dubois  ,80,AMIENS CEDEX 1,+33 3 22 82 35 00,49.8921893,2.3017157,
Tribunal pour Enfants de Montauban,ENFANT,Place du Coq  ,82,MONTAUBAN,+33 5 63 21 40 00,44.016847,1.353339,
Tribunal pour Enfants de Castres,ENFANT,4 Rue du Palais B.P. 409 ,81,CASTRES,+33 5 63 51 93 00,43.605796,2.23817,
Tribunal pour Enfants de Draguignan,ENFANT,Palais de Justice 11 Rue Pierre Clément  B.P. 273 ,83,DRAGUIGNAN,+33 4 94 60 57 00,43.537228,6.447793,
Tribunal pour Enfants de Limoges,ENFANT,Annexe du Palais de Justice 23 Place Winston Churchill ,87,LIMOGES,+33 5 55 11 81 50,45.8312905,1.2542406,
Tribunal pour Enfants de La Roche-Sur-Yon,ENFANT,55 Boulevard Aristide Briand B.P. 833 ,85,LA ROCHE SUR YON CEDEX,+33 2 51 47 61 00,46.6710017,-1.4322826,
Tribunal pour Enfants de Tours,ENFANT,2 Place Jean-Jaurès  ,37,TOURS CEDEX,+33 2 47 60 26 60,47.3900896,0.6897644,
Tribunal pour Enfants de Nantes,ENFANT,Quai François Mitterrand  ,44,NANTES CEDEX 9,+33 2 51 17 96 74,47.207549,-1.557124,
Tribunal pour Enfants de Saint-Nazaire,ENFANT,77 Rue Albert de Mun B.P. 263 ,44,ST NAZAIRE,+33 2 40 00 30 10,47.278845,-2.214212,
Tribunal pour Enfants de Saint-Etienne,ENFANT,Place du Palais de Justice  ,42,ST ETIENNE CEDEX 1,+33 4 77 43 34 30,45.4379283,4.3842586,
Tribunal pour Enfants du Puy-en-Velay,ENFANT,Place du Breuil  ,43,LE PUY EN VELAY,+33 4 71 09 05 70,45.0420584,3.8838852,
Tribunal pour Enfants de Châlons-en-Champagne,ENFANT,16 Rue de Toussaint  ,51,CHALONS EN CHAMPAGNE,+33 3 26 66 10 42,48.958624,4.3597352,
Tribunal pour Enfants de Lorient,ENFANT,Rue Maître Esvelin Porte B ,56,LORIENT,+33 2 97 84 12 81,47.7505991,-3.3672637,
Tribunal pour Enfants de Montargis,ENFANT,84 Rue du Général Leclerc  ,45,MONTARGIS CEDEX,+33 2 38 87 59 00,47.9988918,2.7297794,
Tribunal pour Enfants d'Orléans,ENFANT,7 Rue des Huguenots  ,45,ORLEANS CEDEX 1,+33 2 38 74 58 34,47.9049637,1.9072668,
Tribunal pour Enfants de Cambrai,ENFANT,Château de Selles  Rue Freissart B.P. 379 ,59,CAMBRAI CEDEX,+33 3 27 73 37 37,50.1753508,3.2343689,
Tribunal pour Enfants de Douai,ENFANT,47 Rue Merlin de Douai  ,59,DOUAI,+33 3 27 93 27 68,50.3691673,3.0782007,
Tribunal pour Enfants de Vannes,ENFANT,22 Place de la République B.P. 503 ,56,VANNES CEDEX,+33 2 97 43 77 09,47.656336,-2.761394,
Tribunal pour Enfants de Nevers,ENFANT,Place du Palais B.P. 6 ,58,NEVERS CEDEX,+33 3 86 93 44 44,46.986588,3.157571,
Tribunal pour Enfants de Valenciennes,ENFANT,6 Avenue des Dentellières B.P. 349 ,59,VALENCIENNES,+33 3 27 14 67 00,50.3568459,3.5212273,
Tribunal pour Enfants de Beauvais,ENFANT,20 Boulevard Saint-Jean B.P. 325 ,60,BEAUVAIS CEDEX,+33 3 44 79 60 16,49.429088,2.075929,
Tribunal pour Enfants de Dunkerque,ENFANT,Place du Palais de Justice B.P. 6365 ,59,DUNKERQUE CEDEX 1,+33 3 28 23 53 00,51.031136,2.374939,
Tribunal pour Enfants de Lille,ENFANT,13 Avenue du Peuple Belge B.P. 729 ,59,LILLE CEDEX,+33 3 20 78 33 33,50.6422913,3.0632515,
Tribunal pour Enfants d'Alençon,ENFANT,Place Foch  ,61,ALENCON,+33 2 33 82 25 17,48.430277,0.0828104,
Tribunal pour Enfants d'Arras,ENFANT,13 Rue Roger Salengro  ,62,ARRAS,+33 3 21 51 84 40,50.2938427,2.7685987,
Tribunal pour Enfants de Compiègne,ENFANT,11 Rue Henri de Séroux B.P. 80059 ,60,COMPIEGNE,+33 3 44 38 35 35,49.417087,2.82813,
Tribunal pour Enfants de Senlis,ENFANT,Cité Judiciaire Boulevard Pasteur   B.P. 112 ,60,SENLIS CEDEX,+33 3 44 53 91 00,49.210439,2.58386,
Tribunal pour Enfants de Saverne,ENFANT,7 Rue du Tribunal B.P. 50135 ,67,SAVERNE CEDEX,+33 3 88 71 61 80,48.74059,7.364851,
Tribunal pour Enfants de Strasbourg,ENFANT,1 Quai Finkmatt B.P. 1030 F ,67,STRASBOURG CEDEX,+33 3 88 75 27 56,48.5870345,7.7466246,
Tribunal pour Enfants de Béthune,ENFANT,Place Lamartine B.P. 716 ,62,BETHUNE CEDEX,+33 3 21 68 72 00,50.534256,2.638276,
Tribunal pour Enfants de Boulogne-Sur-Mer,ENFANT,Place de la Résistance  ,62,BOULOGNE SUR MER,+33 3 21 99 61 23,50.725134,1.612177,
Tribunal pour Enfants du Mans,ENFANT,Cité Judiciaire 1 Avenue Paul Mendès-France ,72,LE MANS CEDEX,+33 2 43 83 78 01,48.0077158,0.1985787,
Tribunal pour Enfants de Chambéry,ENFANT,Place du Palais de Justice B.P. 1023 ,73,CHAMBERY CEDEX,+33 4 79 33 60 09,45.568124,5.918642,
Tribunal pour Enfants de Colmar,ENFANT,Place du Marché aux Fruits  ,68,COLMAR CEDEX,+33 3 89 20 56 00,48.075511,7.3584175,
Tribunal pour Enfants de Mâcon,ENFANT,Palais de Justice 8 Rue de la Préfecture ,71,MACON CEDEX,+33 3 85 39 92 00,46.3076337,4.8326325,
Tribunal pour Enfants de Thonon-les-Bains,ENFANT,10; rue de l'Hôtel Dieu BP 50 529 ,74,THONON LES BAINS,+33 4 50 81 20 00,46.3689144,6.4788028,
Tribunal pour Enfants de Dieppe,ENFANT,Palais de Justice  Square Carnot B.P. 229 ,76,DIEPPE CEDEX,+33 2 35 82 75 55,49.924564,1.083359,
Tribunal pour Enfants d'Annecy,ENFANT,51 rue Sommeiller B.P. 2321 ,74,ANNECY CEDEX,+33 4 50 10 17 00,45.9023987,6.1262784,
Tribunal pour Enfants de Bonneville,ENFANT,18 Quai du Parquet  ,74,BONNEVILLE CEDEX,+33 4 56 30 90 00,46.0790376,6.4045304,
Tribunal pour Enfants d'Epinal,ENFANT,Place Edmond Henry B.P. 575 ,88,EPINAL,+33 3 29 34 53 53,48.1745814,6.4515713,
Tribunal pour Enfants du Havre,ENFANT,125 bis  Bd de Strasbourg B.P. 6 ,76,LE HAVRE CEDEX,+33 2 32 92 57 40,49.4927431,0.1165952,
Tribunal pour Enfants de Melun,ENFANT,2 Avenue du Général Leclerc  ,77,MELUN,+33 1 64 79 80 37,48.527225,2.653534,
Tribunal pour Enfants de Nanterre,ENFANT,179-191 Avenue Joliot Curie  ,92,NANTERRE CEDEX,+33 1 40 97 10 10,48.8970987,2.2176603,
Tribunal pour Enfants de Belfort,ENFANT,9 place de la République  ,90,BELFORT,+33 3 84 58 53 00,47.639285,6.861898,
Tribunal pour Enfants d'Evry,ENFANT,9 Rue des Mazières  ,91,EVRY CEDEX,+33 1 60 76 78 00,48.6297484,2.4309592,
Tribunal pour Enfants de Basse-Terre,ENFANT,4 Boulevard Félix Eboué  ,97,BASSE TERRE,+33 5 90 80 63 80,16.2681696,-61.5857963,
Tribunal pour Enfants de Pointe-à-Pitre,ENFANT,Place Gourbeyre  ,97,POINTE A PITRE,+33 5 90 89 69 52,16.2411111,-61.5330556,
Tribunal pour Enfants de Créteil,ENFANT,Rue Pasteur Vallery Radot  ,94,CRETEIL CEDEX,+33 1 49 81 16 00,48.7836024,2.4423209,
Tribunal pour Enfants de Pontoise,ENFANT,3 Rue Victor Hugo B.P. 220 ,95,CERGY PONTOISE CEDEX,+33 1 72 58 70 00,49.0518084,2.1006419,
Tribunal pour Enfants de Saint-Denis-de-La Réunion,ENFANT,5 Avenue André Malraux B.P. 338 ,97,STE CLOTILDE CEDEX,+33 2 62 40 24 17,-20.888016,55.46583,
Tribunal pour Enfants de Fort-de-France,ENFANT,Palais de Justice 35 Bd du Gal de Gaulle   BP 633 ,97,FORT DE FRANCE,+33 5 96 48 41 41,14.637392,-61.069045,
Tribunal pour Enfants de Cayenne,ENFANT,Avenue du Général de Gaulle  ,97,CAYENNE,+33 5 94 29 76 30,4.9383192,-52.3294682,
Tribunal pour Enfants de Nouméa,ENFANT,2 Boulevard Extérieur B.P. F4 ,98,NOUMEA CEDEX,+687 27 93 50,-22.2747558,166.4490616,
Tribunal pour Enfants de Mata-Utu,ENFANT,Tribunal de Première Instance de MATA-UTU ,98,UVEA,+681 72 27 15,-13.2833333,-176.1833333,
Tribunal pour Enfants de Thionville,ENFANT,Quai Marchal B.P. 80348 ,57,THIONVILLE CEDEX,+33 3 82 82 43 50,49.3580493,6.169636,
Tribunal pour Enfants d'Avesnes-sur-Helpe,ENFANT,10 Place Guillemin  ,59,AVESNES SUR HELPE,+33 3 27 56 13 00,50.1227092,3.9319415,
Tribunal pour Enfants de Saint-Omer,ENFANT,3 Rue des Tribunaux B.P. 376 ,62,ST OMER CEDEX,+33 3 21 98 79 85,50.7484602,2.2534883,
Tribunal pour Enfants de Briey,ENFANT,4 Rue du Maréchal Foch ou 9 Place de l'Eglise ,54,BRIEY CEDEX,+33 3 82 47 56 27,49.2872145,5.9632071,
Tribunal pour Enfants de Nancy,ENFANT,Cité Judiciaire  ,54,NANCY CEDEX,+33 3 83 90 85 00,48.6907887,6.1825044,
Tribunal pour Enfants de Verdun,ENFANT,Place Saint-Paul  ,55,VERDUN CEDEX,+33 3 29 86 14 05,49.163768,5.3844849,
Tribunal pour Enfants de Sarreguemines,ENFANT,Place du Général Sibille B.P. 71129 ,57,SARREGUEMINES CEDEX,+33 3 87 28 31 00,49.108781,7.068461,
Tribunal pour Enfants de Digne-les-Bains,ENFANT,6 Place des Recollets  ,4,DIGNE LES BAINS,+33 4 92 31 05 21,44.0918373,6.2396215,
Tribunal pour Enfants de Gap,ENFANT,Palais de Justice Place Saint-Arnoux ,5,GAP CEDEX,+33 4 92 40 70 00,44.5574443937,6.07748196428,
Tribunal pour Enfants de Privas,ENFANT,Cours du Palais  ,7,PRIVAS,+33 4 75 66 40 00,44.734646,4.60017,
Tribunal pour Enfants de Charleville-Mézières,ENFANT,9 Esplanade du Palais de Justice  ,8,CHARLEVILLE MEZIERES,+33 3 24 57 29 23,49.760902,4.7216075,
Tribunal pour Enfants de Saint-Quentin,ENFANT,Rue Victor Basch B.P. 645/1 ,2,ST QUENTIN CEDEX,+33 3 23 05 89 00,49.84719,3.285475,
Tribunal pour Enfants de Lons-Le-Saunier,ENFANT,11 Rue Pasteur B.P. 20344 ,39,LONS LE SAUNIER CEDEX,+33 3 84 35 13 00,46.67339,5.556862,
Tribunal pour Enfants de Mont-de-Marsan,ENFANT,5 Avenue du 8 mai 1945 B.P. 315 ,40,MONT DE MARSAN,+33 5 58 85 41 64,43.893023,-0.501646,
Tribunal pour Enfants de Blois,ENFANT,Place de la République  ,41,BLOIS CEDEX,+33 2 54 44 60 99,47.589372,1.3338,
Tribunal pour Enfants de Foix,ENFANT,Palais de Justice  Rue du Rocher B.P. 78 ,9,FOIX CEDEX,+33 5 61 09 19 26,42.9639801,1.6070809,
Tribunal pour Enfants de Bourgoin-Jallieu,ENFANT,10 Rue du Tribunal B.P. 648 ,38,BOURGOIN JALLIEU CEDEX,+33 4 74 28 78 78,45.586789,5.276511,
Tribunal pour Enfants de Saint-Brieuc,ENFANT,Parc des Promenades  ,22,ST BRIEUC CEDEX 1,+33 2 96 62 30 07,48.5139819,-2.7626027,
Tribunal pour Enfants de Libourne,ENFANT,22 Rue Thiers B.P. 202 ,33,LIBOURNE CEDEX,+33 5 57 55 36 80,44.913816,-0.244407,
Tribunal pour Enfants de Paris,ENFANT,4 Boulevard du Palais  ,75,PARIS,+33 1 44 32 54 34,48.8548767,2.3454235,
Tribunal pour Enfants de Lyon,ENFANT,67 Rue Servient  ,69,LYON CEDEX 03,+33 4 72 60 70 12,45.7603055,4.8465698,
Tribunal pour Enfants de Poitiers,ENFANT,19 Rue Paul Bert  ,86,POITIERS,+33 5 49 50 26 40,46.5849263,0.3404148,
Tribunal de Grande Instance de Meaux,GRANDE_INSTANCE,44 Avenue Salvador Allendé B.P. 230 ,77,MEAUX,+33 1 60 09 75 00,48.956216,2.888272,
Tribunal de Grande Instance du Mans,GRANDE_INSTANCE,Cité Judiciaire 1 Avenue Pierre Mendès-France ,72,LE MANS CEDEX,+33 2 43 83 77 00,48.0064699,0.1997661,
Tribunal de Grande Instance de Draguignan,GRANDE_INSTANCE,Palais de Justice 11 Rue Pierre Clément   B.P. 273 ,83,DRAGUIGNAN,+33 4 94 60 57 00,43.537228,6.447793,
Tribunal de Grande Instance de Versailles,GRANDE_INSTANCE,  3 Avenue de l'Europe,78,VERSAILLES CEDEX,+33 1 39 07 39 07,48.803612,2.130523,
Tribunal de Grande Instance de Blois,GRANDE_INSTANCE,  Place de la République,41,BLOIS CEDEX,+33 2 54 44 60 99,47.589372,1.3338,
Tribunal de Grande Instance de Vienne,GRANDE_INSTANCE,  16 Place Charles de Gaulle,38,VIENNE CEDEX,+33 4 74 78 81 81,45.525884,4.8739588,
Tribunal de Grande Instance de Nevers,GRANDE_INSTANCE,Place du Palais B.P. 6 ,58,NEVERS CEDEX,+33 3 86 93 44 44,46.986588,3.157571,
Tribunal de Grande Instance de Metz,GRANDE_INSTANCE,3 Rue Haute Pierre B.P. 81022 ,57,METZ CEDEX 01,+33 3 87 56 75 00,49.116779,6.171264,
Tribunal de Grande Instance d'Ajaccio,GRANDE_INSTANCE,4 boulevard Masseria BP 47 ,20,AJACCIO CEDEX 1,+33 4 95 29 06 06,41.925605,8.736978,
Tribunal de Grande Instance de Tours,GRANDE_INSTANCE,  2 Place Jean-Jaurès,37,TOURS CEDEX,+33 2 47 60 26 60,47.3900896,0.6897644,
Tribunal de Grande Instance de Saint-Malo,GRANDE_INSTANCE,1 Place Saint-Aaron CS 51731 ,35,ST MALO,+33 2 99 20 20 20,48.6481785,-2.0260898,
Tribunal de Première Instance de Mata-Utu,GRANDE_INSTANCE,Tribunal de Première Instance de MATA-UTU ,98,UVEA,+681 72 27 15,-13.2833333,-176.1833333,
Tribunal de Première Instance de Nouméa,GRANDE_INSTANCE,2 Bd Extérieur   Fg Blanchot B.P. F4 ,98,NOUMEA CEDEX,+687 27 93 50,-22.2758333,166.4580556,
Tribunal de Grande Instance de Quimper,GRANDE_INSTANCE,  48 A quai de l'Odet,29,QUIMPER,+33 2 98 82 88 00,47.992566,-4.108723,
Tribunal de Grande Instance de Périgueux,GRANDE_INSTANCE,19 Bis Cours Montaigne B.P. 9051 ,24,PERIGUEUX CEDEX,+33 5 53 02 77 00,45.185563,0.720548,
Tribunal de Grande Instance de Saint-Pierre,GRANDE_INSTANCE,28 Rue Augustin Archambeaud B.P. 338 ,97,ST PIERRE CEDEX,+33 2 62 96 10 00,-21.323885,55.486915,
Tribunal de Grande Instance de Troyes,GRANDE_INSTANCE,  83 Rue du Général de Gaulle,10,TROYES,+33 3 25 43 55 70,48.297202,4.069243,
Tribunal de Grande Instance de Carpentras,GRANDE_INSTANCE,Place du Général de Gaulle B.P. 265 ,84,CARPENTRAS,+33 4 90 63 66 00,44.061565,5.057299,
Tribunal de Grande Instance d'Avignon,GRANDE_INSTANCE,Palais de Justice 2 Boulevard Limbert ,84,AVIGNON CEDEX 9,+33 4 32 74 74 00,43.944784,4.816066,
Tribunal de Grande Instance de Saint-Denis-de-La-Réunion,GRANDE_INSTANCE,5 Avenue André Malraux B.P. 338 ,97,STE CLOTILDE CEDEX,+33 2 62 40 23 45,-20.888016,55.46583,
Tribunal de Grande Instance de Limoges,GRANDE_INSTANCE,Palais de Justice 17 Place d'Aine ,87,LIMOGES,+33 5 55 11 81 00,45.830161,1.255227,
Tribunal de Grande Instance de Briey,GRANDE_INSTANCE,Cité Judiciaire Place de l'Eglise B.P. 139 ,54,BRIEY CEDEX,+33 3 82 47 56 00,49.252821,5.974587,
Tribunal de Grande Instance de Nanterre,GRANDE_INSTANCE,  179-191 Avenue Joliot Curie,92,NANTERRE CEDEX,+33 1 40 97 10 10,48.8970987,2.2176603,
Tribunal de Grande Instance de Brest,GRANDE_INSTANCE,32 Rue de Denver B.P. 60123 ,29,BREST,+33 2 98 33 78 00,48.384325,-4.485586,
Tribunal de Grande Instance de Saint-Brieuc,GRANDE_INSTANCE,Parc des Promenades B.P. 2357 ,22,ST BRIEUC CEDEX 1,+33 2 96 62 30 00,48.513017,-2.757331,
Tribunal de Grande Instance de Bayonne,GRANDE_INSTANCE,  Avenue de la Légion Tchèque,64,BAYONNE,+33 5 59 44 54 00,43.4928709,-1.4881017,
Tribunal de Grande Instance de Villefranche-sur-Saône,GRANDE_INSTANCE,Palais de Justice 350 Bld Gambetta   B.P. 474 ,69,VILLEFRANCHE SUR SAONE,+33 4 74 65 63 63,45.986718,4.722057,
Tribunal de Grande Instance de Lyon,GRANDE_INSTANCE,  67 Rue Servient,69,LYON CEDEX 03,+33 4 72 60 70 12,45.7603055,4.8465698,
Tribunal de Grande Instance de Saint-Omer,GRANDE_INSTANCE,  3 Rue des Tribunaux,62,ST OMER CEDEX,+33 3 21 98 79 70,50.747411,2.253846,
Tribunal de Grande Instance de Compiègne,GRANDE_INSTANCE,11 Rue Henri de Séroux B.P. 80059 ,60,COMPIEGNE,+33 3 44 38 35 24,49.417087,2.82813,
Tribunal de Grande Instance de Montpellier,GRANDE_INSTANCE,  Place Pierre Flotte,34,MONTPELLIER,+33 4 67 12 60 00,43.6104379,3.868906,
Tribunal de Grande Instance de Dax,GRANDE_INSTANCE,Rue des Fusillés B.P. 355 ,40,DAX,+33 5 58 56 88 20,43.709466,-1.051532,
Section Détachée du Tribunal de Première Instance à Lifou,GRANDE_INSTANCE,  Section Détachée de Lifou,98,WE,+687 45 12 82,-21.0384968,167.2405153,
Tribunal de Grande Instance de Chalon-sur-Saône,GRANDE_INSTANCE,  Rue Emiland-Menand,71,CHALON SUR SAONE,+33 3 85 93 77 00,46.7846259,4.8536094,
Tribunal de Grande Instance de Soissons,GRANDE_INSTANCE,  76 Rue Saint-Martin,2,SOISSONS CEDEX,+33 3 23 76 39 39,49.3804223,3.3280404,
Tribunal de Grande Instance de Mende,GRANDE_INSTANCE,  Boulevard Henri Bourillon,48,MENDE,+33 4 66 65 28 11,44.516188,3.49822,
Tribunal de Grande Instance de Poitiers,GRANDE_INSTANCE,10 Place Alphonse Lepetit B.P. 527 ,86,POITIERS,+33 5 49 50 22 00,46.583217,0.341729,
Tribunal de Grande Instance de Mulhouse,GRANDE_INSTANCE,  21 Avenue Robert Schumann,68,MULHOUSE CEDEX 3,+33 3 89 36 25 00,47.752347,7.342874,
Tribunal de Grande Instance de Bergerac,GRANDE_INSTANCE,Place du Palais B.P. 207 ,24,BERGERAC,+33 5 53 74 40 00,44.85283,0.485636,
Tribunal de Grande Instance de Saint-Etienne,GRANDE_INSTANCE,  Place du Palais de Justice,42,ST ETIENNE CEDEX 1,+33 4 77 43 33 00,45.4379283,4.3842586,
Tribunal de Grande Instance de Rouen,GRANDE_INSTANCE,Palais de Justice 1 Place du Maréchal Foch ,76,ROUEN CEDEX,+33 2 35 52 87 52,49.442231,1.091543,
Tribunal de Grande Instance de Chaumont,GRANDE_INSTANCE,Rue du Palais B.P. 2061 ,52,CHAUMONT,+33 3 25 32 84 20,48.112727,5.136812,
Tribunal de Grande Instance de Bourg-en-Bresse,GRANDE_INSTANCE,4 Rue du Palais B.P. 306 ,1,BOURG EN BRESSE CEDEX,+33 4 74 24 19 53,46.205529,5.223488,
Tribunal de Grande Instance de Grenoble,GRANDE_INSTANCE,Place Firmin Gautier BP 100 ,38,GRENOBLE CEDEX 1,+33 4 38 21 21 21,45.190629,5.711582,
Tribunal de Grande Instance de Cusset,GRANDE_INSTANCE,  Rue du Drapeau,3,CUSSET CEDEX,+33 4 70 30 98 30,46.132877,3.456196,
Tribunal de Grande Instance de Montluçon,GRANDE_INSTANCE,  114 Boulevard de Courtais,3,MONTLUCON,+33 4 70 28 12 13,46.3398176,2.6078132,
Tribunal de Grande Instance de Laon,GRANDE_INSTANCE,  Place Aubry,2,LAON CEDEX,+33 3 23 26 29 00,49.564965,3.625177,
Tribunal de Grande Instance de Saint-Quentin,GRANDE_INSTANCE,Rue Victor Basch B.P. 645/1 ,2,ST QUENTIN CEDEX,+33 3 23 05 89 00,49.84719,3.285475,
Tribunal de Grande Instance d'Aix-en-Provence,GRANDE_INSTANCE,  40 Boulevard Carnot,13,AIX EN PROVENCE,+33 4 42 33 83 00,43.5274683,5.4554748,
Tribunal de Grande Instance de Grasse,GRANDE_INSTANCE,37 Avenue Pierre Semard B.P. 71029 ,6,GRASSE,+33 4 92 60 72 00,43.656694,6.928526,
Tribunal de Grande Instance de Nice,GRANDE_INSTANCE,  Place du Palais,6,NICE,+33 4 92 17 70 00,43.696633,7.2737625,
Tribunal de Grande Instance de Rodez,GRANDE_INSTANCE,Boulevard de Guizard BP 3123 ,12,RODEZ,+33 5 65 73 43 00,44.3489355,2.5727445,
Tribunal de Grande Instance de Sarreguemines,GRANDE_INSTANCE,Place du Général Sibille B.P. 71129 ,57,SARREGUEMINES CEDEX,+33 3 87 28 31 00,49.108781,7.068461,
Tribunal de Grande Instance d'Aurillac,GRANDE_INSTANCE,  21 Place du Square,15,AURILLAC CEDEX,+33 4 71 45 59 59,44.927738,2.443886,
Tribunal de Grande Instance d'Angoulême,GRANDE_INSTANCE,Place Francis Louvel B.P. 214 ,16,ANGOULEME,+33 5 45 37 11 00,45.649207,0.15429,
Tribunal de Grande Instance de Marseille,GRANDE_INSTANCE,  6 Rue Joseph Autran,13,MARSEILLE,+33 4 91 15 50 50,43.2907289,5.3740786,
Tribunal de Grande Instance de Lisieux,GRANDE_INSTANCE,Cour Matignon B.P. 47227 ,14,LISIEUX CEDEX,+33 2 31 48 53 60,49.146344,0.235969,
Tribunal de Grande Instance de Roanne,GRANDE_INSTANCE,5 Bis Place Georges Clémenceau B.P. 515 ,42,ROANNE CEDEX,+33 4 77 44 48 00,46.039881,4.072387,
Tribunal de Grande Instance de Lorient,GRANDE_INSTANCE,1 Rue Maître Esvelin Porte A ,56,LORIENT,+33 2 97 84 12 50,47.744802,-3.363643,
Tribunal de Grande Instance de Mâcon,GRANDE_INSTANCE,Palais de Justice 8 Rue de la Préfecture ,71,MACON CEDEX,+33 3 85 39 92 00,46.3076337,4.8326325,
Tribunal de Grande Instance de Tarascon,GRANDE_INSTANCE,  Place  du docteur Braye,13,TARASCON,+33 4 90 91 72 00,43.8048118,4.6582203,
Tribunal de Grande Instance de Brive-la-Gaillarde,GRANDE_INSTANCE,Palais de Justice Boulevard du Maréchal Lyautey ,19,BRIVE LA GAILLARDE,+33 5 55 17 77 77,45.1567616,1.5325855,
Tribunal de Grande Instance de Beauvais,GRANDE_INSTANCE,20 Boulevard Saint-Jean B.P. 325 ,60,BEAUVAIS CEDEX,+33 3 44 79 60 60,49.429088,2.075929,
Tribunal de Grande Instance de La Rochelle,GRANDE_INSTANCE,  10 Rue du Palais,17,LA ROCHELLE,+33 5 46 50 87 10,46.159808,-1.1536929,
Tribunal de Grande Instance de Charleville-Mézières,GRANDE_INSTANCE,  9 Esplanade du Palais de Justice,8,CHARLEVILLE MEZIERES,+33 3 24 57 69 00,49.760902,4.7216075,
Tribunal de Grande Instance de Foix,GRANDE_INSTANCE,Palais de Justice 14 Rue du Rocher   B.P. 78 ,9,FOIX CEDEX,+33 5 61 02 19 00,42.96647,1.605087,
Tribunal de Grande Instance de Pau,GRANDE_INSTANCE,Palais de Justice 5 Place de la Libération ,64,PAU,+33 5 59 82 46 15,43.297682,-0.371384,
Tribunal de Grande Instance de Caen,GRANDE_INSTANCE,  Place Fontette,14,CAEN,+33 2 31 30 55 55,49.181939,-0.370636,
Tribunal de Grande Instance de Clermont-Ferrand,GRANDE_INSTANCE,Palais de Justice 16 Place de l'Etoile ,63,CLERMONT FERRAND,+33 4 73 31 77 00,45.779422,3.080691,
Tribunal de Grande Instance de Moulins,GRANDE_INSTANCE,20 Rue de Paris B.P. 1627 ,3,MOULINS CEDEX,+33 4 70 35 14 55,46.5683737,3.330534,
Tribunal de Grande Instance de Perpignan,GRANDE_INSTANCE,Place Arago B.P. 921 ,66,PERPIGNAN CEDEX,+33 4 68 51 96 96,42.703347,2.884902,
Tribunal de Grande Instance d'Auxerre,GRANDE_INSTANCE,Place du Palais de Justice B.P. 39 ,89,AUXERRE CEDEX,+33 3 86 72 30 00,47.798136,3.567723,
Tribunal de Grande Instance de Tarbes,GRANDE_INSTANCE,  Rue du Maréchal Foch,65,TARBES,+33 5 62 51 77 00,43.231872,0.076531,
Tribunal de Grande Instance de Nîmes,GRANDE_INSTANCE,Nouveau Palais de Justice Boulevard des Arènes ,30,NIMES,+33 4 66 76 47 00,43.8343479,4.3590266,
Tribunal de Grande Instance de Strasbourg,GRANDE_INSTANCE,Quai Finkmatt B.P. 1030 ,67,STRASBOURG CEDEX,+33 3 88 75 27 27,48.587234,7.747288,
Section Détachée du Tribunal de Première Instance à Nuku-Hiva,GRANDE_INSTANCE,Section Détachée de Nuku-Hiva TAIOHAE  BP 47 ,98,AAKAPA,+689 92 03 25,-8.795346,-140.228315,
Section Détachée du Tribunal de Première Instance à Raïatéa,GRANDE_INSTANCE,Section Détachée de Raïatéa UTUROA  BP 38 ,98,UTUROA,+689 66 32 08,-16.7328701,-151.4420882,
Section Détachée du Tribunal de Première Instance à Koné,GRANDE_INSTANCE,  Section Détachée de Koné,98,KONE,+687 35 55 13,-21.060339,164.865749,
Tribunal de Grande Instance de Saverne,GRANDE_INSTANCE,7 Rue du Tribunal B.P. 50135 ,67,SAVERNE CEDEX,+33 3 88 71 61 51,48.74059,7.364851,
Tribunal de Grande Instance de Béziers,GRANDE_INSTANCE,Place de la Révolution C.S. 604 ,34,BEZIERS,+33 4 67 49 60 00,43.34146,3.210654,
Tribunal de Grande Instance de Rennes,GRANDE_INSTANCE,Cité Judiciaire - CS 73127 7 Rue Pierre Abélard ,35,RENNES CEDEX,+33 2 99 65 37 37,48.105532,-1.686493,
